id,name,darreichung,status,verweis,artikelnummer,pharmacode,ean,abgabekategorie,zulassungsnummer,csl
640,Plumbum metallicum praeparatum D10,Injektionslösung 8 Amp.,Gestrichen (Lieferbar: D30 Ampullen und D6 oder D20 Tropfen),,114041,970508,7611916114052,B,405045,8x2070654
641,Plumbum metallicum praeparatum D20,Tropfen zum Einnehmen 50 ml,Lieferbar,,205696,5145387,7611916147890,FM / SL,,2069734
642,Plumbum metallicum praeparatum D20,Injektionslösung 8 Amp.,Gestrichen (Lieferbar: D30 Ampullen und D20 Tropfen),,124365,4146367,7611916151958,B,405045,8x2070654
643,Plumbum metallicum praeparatum D30,Injektionslösung 8 Amp.,Lieferbar,,124280,4146373,7611916151101,B / SL,405045,8x2070677
644,Plumbum / Stannum,Pulver zum Einnehmen 50 g,Lieferbar,,124741,1183476,7611916164378,FM / SL,,
645,Plumbum silicicum D6,Pulver zum Einnehmen 50 g,Lieferbar,,124727,1033468,7611916162749,FM / nach ALT,,
646,Plumbum silicicum D20,Injektionslösung 8 Amp.,Lieferbar,,114060,5313235,7611916114274,B / SL,404617,8x2070654
647,Plumbum silicicum D20,Tropfen zum Einnehmen 50 ml,Lieferbar,,124797,1035587,7611916163838,FM / SL,,2069734
648,Polygonatum officinale 5%,Crème 25 g,Lieferbar,,124471,1185038,7611916165375,B / SL,419487,2070140
654,Primula Auro culta Rh D3,Tropfen zum Einnehmen 20 ml,Lieferbar,,124674,7811772,7611916160257,B / SL,417626,2069651
655,Primula / Onopordon cum Hyoscyamo,Tropfen zum Einnehmen 50 ml,Lieferbar,,205968,7821536,7611916161544,FM / SL,,2070275
656,"Prunus spinosa, Fructus Ø (= 33%)",Tropfen zum Einnehmen 50 ml,Lieferbar,,205710,5155374,7611916148033,FM / SL,,2069591
657,Prunus spinosa Summitates Ø (= 33%),Tropfen zum Einnehmen 50 ml,Lieferbar,,206081,1034095,7611916163050,FM / SL,,2069591
658,Prunus spinosa Summitates D1,Tropfen zum Einnehmen 50 ml,Lieferbar,,205714,5155397,7611916148071,FM / SL,,2069674
659,"Prunus spinosa, Summitates Rh D3",Injektionslösung (s.c.) 8 Amp.,Lieferbar,,114070,4109679,7611916114359,B / SL,59504,8x2070631
660,Prunus spinosa Summitates D3,Tropfen zum Einnehmen 50 ml,Lieferbar,,206080,1034094,7611916163043,FM / SL,,2069674
661,"Prunus spinosa, Summitates D8",Augentropfen 10 ml,Lieferbar,,117241,7267812,7611916157097,D / -,59620,
662,Pulsatilla vulgaris D6,Dilution 50 ml,Gestrichen,,124121,5061070,7611916140198,,,2069674
663,Pyrit D6,Pulver zum Einnehmen 50 g,Lieferbar,,205724,5156244,7611916148170,FM / nach ALT,,
664,Pyrit / Zinnober,Tabletten 50 g,Lieferbar,,124435,5155517,7611916153006,B / SL,414038,2070370
665,Pyromorphit D8,Injektionslösung 8 Amp.,Lieferbar,,114100,1282495,7611916114632,B / SL,404680,8x2070631
666,Quarz 50%,Pulver zum Einnehmen 50 g,Lieferbar,,205983,7837396,7611916162107,FM / SL,,2069591
667,Quarz 1%,Oel zur Anwendung auf der Haut 10 ml,Lieferbar,,115015,774931,7611916120947,FM / nach ALT,,
668,Quarz D4,Pulver zum Einnehmen 50 g,Lieferbar,,124731,7848106,7611916162756,FM / nach ALT,,
669,Quarz D6,Ampullen 8 st,Gestrichen (Lieferbar: Pulver D6),,124325,4110004,7611916151569,B / nach ALT,404639,8x2070631
670,Quarz D6,Pulver zum Einnehmen 50 g,Lieferbar,,124702,7830889,7611916161711,FM / nach ALT,,
